state,country,steel,construction,height,speed,length,inversions,numinversions,duration,gforce,opened,region,continent
CA,US,1,Steel,32.004,81,822.96,Yes,5,120,4,1994,1,North America
CA,US,1,Steel,,45.36,814.121,No,0,,,1979,1,North America
CA,US,1,Steel,35.5092,76.14,284.988,Yes,3,108,5.2,1990,1,North America
CA,US,1,Steel,35.5092,76.14,284.988,Yes,3,168,6.2,1998,1,North America
CA,US,1,Steel,,89.1,1850.75,Yes,1,156,,2001,1,North America
CA,US,1,Steel,,,,No,0,,,1999,1,North America
CA,US,1,Steel,5.4864,32.4,149.962,No,0,,,2004,1,North America
CA,US,1,Steel,7.9248,35.64,359.969,No,0,,,2000,1,North America
CA,US,0,Wood,38.1,100.44,1318.26,No,0,150,3.2,1978,1,North America
CA,US,1,Steel,58.2168,105.3,366.979,Yes,3,92,4.5,2001,1,North America
CA,US,1,Steel,31.0896,81,649.224,Yes,4,105,,1976,1,North America
CA,US,1,Steel,,,,No,0,,,1999,1,North America
CA,US,1,Steel,,,,No,0,,,2001,1,North America
CA,US,1,Steel,31.0896,81,688.848,Yes,3,146,,1993,1,North America
CA,US,1,Steel,,,,No,0,,,1990,1,North America
CA,US,1,Steel,,,,No,0,,,1995,1,North America
CA,US,1,Steel,,,,No,0,,,1994,1,North America
CA,US,1,Steel,8.2296,34.02,206.959,No,0,44,,1993,1,North America
CA,US,0,Wood,35.9664,90.72,1381.66,No,0,160,3.1,1998,1,North America
CA,US,0,Wood,22.2504,89.1,792.48,No,0,,,1925,1,North America
CA,US,0,Wood,21.336,89.1,804.672,No,0,112,,1924,1,North America
CA,US,1,Steel,,,,No,0,,,2008,1,North America
CA,US,1,Steel,21.336,56.7,789.432,No,0,150,,1971,1,North America
CA,US,1,Steel,71.628,137.7,1371.6,No,0,180,,2000,1,North America
CA,US,0,Wood,27.7368,89.1,990.6,No,0,160,,1986,1,North America
CA,US,1,Steel,,,,No,0,,,1992,1,North America
CA,US,1,Steel,,,12.192,No,0,,,2007,1,North America
CA,US,1,Steel,39.9288,81,308.762,Yes,3,90,5,1998,1,North America
CA,US,1,Steel,19.812,56.7,793.09,No,0,120,,1995,1,North America
CA,US,1,Steel,28.956,68.04,,No,0,300,3,2004,1,North America
CA,US,1,Steel,33.2232,79.38,688.848,Yes,5,96,,1998,1,North America
CA,US,1,Steel,,,,No,0,,,,1,North America
CA,US,1,Steel,,,,No,0,,,,1,North America
CA,US,1,Steel,24.384,,,No,0,,,1959,1,North America
CA,US,1,Steel,45.72,105.3,1200,Yes,7,195,4.5,2000,1,North America
CA,US,1,Steel,8.2296,34.02,206.959,No,0,44,,2001,1,North America
CA,US,1,Steel,45.1104,89.1,243.84,Yes,1,36,,1978,1,North America
CA,US,1,Steel,,43.74,,No,0,,,2001,1,North America
CA,US,1,Steel,18.288,89.1,822.96,No,0,90,,1988,1,North America
CA,US,1,Steel,3.048,16.2,106.68,No,0,,,1971,1,North America
CA,US,1,Steel,13.4112,61.56,396.24,No,0,,,2008,1,North America
CA,US,1,Steel,,,383.134,No,0,,,2001,1,North America
CA,US,1,Steel,11.5824,51.84,651.967,No,0,,,2001,1,North America
CA,US,1,Steel,,64.8,548.64,No,0,120,,2004,1,North America
CA,US,1,Steel,34.4424,89.1,1053.69,Yes,1,132,4.9,1976,1,North America
CA,US,1,Steel,47.5488,105.3,1331.98,Yes,6,180,4.2,1998,1,North America
CA,US,1,Steel,3.9624,,79.8576,No,0,,,1999,1,North America
CA,US,0,Wood,28.6512,81,1003.1,No,0,,,1999,1,North America
CA,US,1,Steel,,,,No,0,,,,1,North America
CA,US,1,Steel,,,,No,0,,,2002,1,North America
CA,US,1,Steel,,,,No,0,,,,1,North America
CA,US,1,Steel,,,,No,0,,,,1,North America
CA,US,1,Steel,,,396.24,No,0,132,,1987,1,North America
CA,US,1,Steel,16.764,,396.24,No,0,,,1996,1,North America
CA,US,1,Steel,45.72,102.06,1214.63,Yes,7,180,,2003,1,North America
CA,US,1,Steel,27.432,81,792.48,No,0,116,,1995,1,North America
CA,US,1,Steel,9.7536,,,No,0,,2.5,2008,1,North America
CA,US,1,Steel,,,,No,0,,,2000,1,North America
CA,US,1,Steel,18.8976,59.94,429.768,No,0,,3.3,2007,1,North America
CA,US,1,Steel,44.5008,89.1,952.5,Yes,6,150,,2004,1,North America
CA,US,1,Steel,,,,No,0,,,2005,1,North America
CA,US,1,Steel,126.492,162,376.428,No,0,28,4.5,1997,1,North America
CA,US,1,Steel,51.816,100.44,1097.89,Yes,4,,,2006,1,North America
CA,US,1,Steel,,,,No,0,,,1999,1,North America
