Place Name,State Name,Estimate,Percent,State Code,Place Code
Abbeville city, South Carolina,1490,74,45,00100
Abney Crossroads CDP, South Carolina,5,29.4,45,00165
Adams Run CDP, South Carolina,130,70.3,45,00370
Aiken city, South Carolina,11633,89.8,45,00550
Alcolu CDP, South Carolina,77,63.6,45,00775
Allendale town, South Carolina,819,70.8,45,00955
Anderson city, South Carolina,10382,86.5,45,01360
Andrews town, South Carolina,804,63.2,45,01450
Antreville CDP, South Carolina,70,72.9,45,01810
Arcadia CDP, South Carolina,763,71.8,45,02080
Arcadia Lakes town, South Carolina,387,97,45,02125
Arial CDP, South Carolina,717,84.4,45,02440
Arkwright CDP, South Carolina,704,83.6,45,02530
Arthurtown CDP, South Carolina,828,78.6,45,02665
Ashwood CDP, South Carolina,43,76.8,45,03115
Atlantic Beach town, South Carolina,107,84.9,45,03205
Awendaw town, South Carolina,450,62.4,45,03385
Aynor town, South Carolina,322,87,45,03430
Bamberg town, South Carolina,822,67.7,45,03790
Barnwell city, South Carolina,1498,81.2,45,04060
Batesburg-Leesville town, South Carolina,1522,75.5,45,04300
Baxter Village CDP, South Carolina,1410,94.1,45,04528
Beaufort city, South Carolina,4486,87.6,45,04690
Beech Island CDP, South Carolina,512,94.3,45,04915
Belton city, South Carolina,1321,81.7,45,05365
Belvedere CDP, South Carolina,2158,88.5,45,05410
Ben Avon CDP, South Carolina,871,78.8,45,05545
Bennettsville city, South Carolina,1826,66.4,45,05680
Berea CDP, South Carolina,4927,81.5,45,05770
Bethune town, South Carolina,94,49,45,06040
Bishopville city, South Carolina,1105,83,45,06310
Blacksburg town, South Carolina,563,71.5,45,06400
Blackville town, South Carolina,521,69.3,45,06490
Blenheim town, South Carolina,9,30,45,06850
Bluffton town, South Carolina,10146,95,45,07210
Blythewood town, South Carolina,1742,94.4,45,07255
Boiling Springs CDP, South Carolina,3936,89.9,45,07345
Bonneau town, South Carolina,144,82.3,45,07525
Bonneau Beach CDP, South Carolina,583,83.8,45,07535
Bowman town, South Carolina,191,65.2,45,07840
Boykin CDP, South Carolina,39,100,45,08110
Bradley CDP, South Carolina,31,59.6,45,08155
Branchville town, South Carolina,419,75.9,45,08245
Briarcliffe Acres town, South Carolina,203,99,45,08830
Brookdale CDP, South Carolina,1156,72.2,45,09527
Browntown CDP, South Carolina,40,100,45,09782
Brunson town, South Carolina,146,66.7,45,09865
Bucksport CDP, South Carolina,246,84,45,10000
Buffalo CDP, South Carolina,418,86.4,45,10090
Buford CDP, South Carolina,175,91.1,45,10135
Burnettown town, South Carolina,991,91.7,45,10270
Burton CDP, South Carolina,1899,72.5,45,10360
Caesars Head CDP, South Carolina,17,100,45,10585
Calhoun Falls town, South Carolina,554,70.6,45,10720
Camden city, South Carolina,2930,80,45,10855
Cameron town, South Carolina,131,72.4,45,10900
Camp Croft CDP, South Carolina,555,84.1,45,11035
Campobello town, South Carolina,239,91.2,45,11125
Cane Savannah CDP, South Carolina,416,79.4,45,11350
Capitol View CDP, South Carolina,1520,88.9,45,11620
Carlisle town, South Carolina,102,59.6,45,11755
Carolina Forest CDP, South Carolina,8347,93.7,45,11833
Cash CDP, South Carolina,70,53.4,45,12205
Catawba CDP, South Carolina,534,98.3,45,12430
Cateechee CDP, South Carolina,204,66.2,45,12520
Cayce city, South Carolina,5745,87.2,45,12655
Centenary CDP, South Carolina,80,41.7,45,12925
Centerville CDP, South Carolina,2773,89.3,45,12965
Central town, South Carolina,1272,67.4,45,13015
Central Pacolet town, South Carolina,43,50.6,45,13060
Chapin town, South Carolina,583,92.5,45,13150
Charleston city, South Carolina,58072,89.1,45,13330
Cheraw town, South Carolina,1658,77.3,45,13600
Cherokee Falls CDP, South Carolina,8,100,45,13735
Cherryvale CDP, South Carolina,925,77.8,45,14018
Chesnee city, South Carolina,219,74,45,14050
Chester city, South Carolina,1603,71.3,45,14095
Chesterfield town, South Carolina,400,76.2,45,14140
Chickasaw Point CDP, South Carolina,292,98,45,14230
City View CDP, South Carolina,444,89.2,45,14455
Clarks Hill CDP, South Carolina,34,58.6,45,14590
Clearwater CDP, South Carolina,1252,89.7,45,14860
Clemson city, South Carolina,6388,86.3,45,14950
Clemson University CDP, South Carolina,15,45.5,45,15040
Clifton CDP, South Carolina,219,74,45,15220
Clinton city, South Carolina,1751,74.4,45,15295
Clio town, South Carolina,165,76.7,45,15310
Clover town, South Carolina,2314,87.1,45,15355
Cokesbury CDP, South Carolina,96,67.6,45,15625
Columbia city, South Carolina,43632,86.9,45,16000
Conestee CDP, South Carolina,403,85,45,16180
Converse CDP, South Carolina,108,87.8,45,16360
Conway city, South Carolina,7007,86.9,45,16405
Coosawhatchie CDP, South Carolina,0,0,45,16675
Cope town, South Carolina,5,26.3,45,16720
Cordova town, South Carolina,54,98.2,45,16855
Coronaca CDP, South Carolina,32,100,45,16945
Cottageville town, South Carolina,354,91,45,16990
Coward town, South Carolina,178,72.1,45,17215
Cowpens town, South Carolina,796,93.9,45,17260
Cross Anchor CDP, South Carolina,25,100,45,17845
Cross Hill town, South Carolina,166,66.1,45,17890
Dacusville CDP, South Carolina,78,75,45,18250
Dale CDP, South Carolina,141,48.6,45,18340
Dalzell CDP, South Carolina,996,79.4,45,18430
Danwood CDP, South Carolina,112,66.7,45,18475
Darlington city, South Carolina,1607,62.7,45,18565
Daufuskie Island CDP, South Carolina,340,100,45,18610
Daviston CDP, South Carolina,60,36.8,45,18706
DeBordieu Colony CDP, South Carolina,301,100,45,18810
Denmark city, South Carolina,577,75.8,45,19105
Dentsville CDP, South Carolina,5840,81.3,45,19285
Dillon city, South Carolina,1647,69.3,45,19420
Donalds town, South Carolina,102,69.9,45,19870
Dovesville CDP, South Carolina,156,46.7,45,20365
Drayton CDP, South Carolina,289,65.2,45,20590
Due West town, South Carolina,208,85.6,45,21040
Dunbar CDP, South Carolina,115,70.6,45,21130
Duncan town, South Carolina,1101,69.9,45,21265
Dunean CDP, South Carolina,1325,88.1,45,21310
Easley city, South Carolina,8208,80.1,45,21985
East Camden CDP, South Carolina,1301,87.8,45,22050
East Gaffney CDP, South Carolina,801,60.5,45,22075
Eastover town, South Carolina,208,67.8,45,22390
East Sumter CDP, South Carolina,311,69.7,45,22547
Edgefield town, South Carolina,761,72.5,45,22795
Edisto CDP, South Carolina,630,89.1,45,22997
Edisto Beach town, South Carolina,437,94.2,45,23020
Edmund CDP, South Carolina,327,62.9,45,23110
Ehrhardt town, South Carolina,125,52.3,45,23200
Elgin town, South Carolina,670,98,45,23245
Elgin CDP, South Carolina,907,86.5,45,23290
Elko town, South Carolina,47,70.1,45,23335
Elliott CDP, South Carolina,164,87.7,45,23425
Elloree town, South Carolina,302,66.7,45,23470
Enoree CDP, South Carolina,185,95.9,45,23605
Estill town, South Carolina,575,75.4,45,23830
Eureka Mill CDP, South Carolina,492,69.3,45,24020
Eutawville town, South Carolina,110,80.9,45,24100
Fairfax town, South Carolina,556,65.9,45,24370
Fairforest CDP, South Carolina,403,73.3,45,24505
Fair Play CDP, South Carolina,212,93.4,45,24730
Fairview Crossroads CDP, South Carolina,172,74.8,45,24865
Fingerville CDP, South Carolina,0,0,45,25360
Finklea CDP, South Carolina,95,53.4,45,25405
Five Forks CDP, South Carolina,5955,96.2,45,25540
Florence city, South Carolina,12700,77.8,45,25810
Floydale CDP, South Carolina,48,100,45,25945
Folly Beach city, South Carolina,440,68.6,45,26035
Forest Acres city, South Carolina,4181,89.1,45,26305
Forestbrook CDP, South Carolina,2578,93.6,45,26372
Foreston CDP, South Carolina,41,100,45,26485
Fort Lawn town, South Carolina,313,81.5,45,26845
Fort Mill town, South Carolina,8622,95.8,45,26890
Fountain Inn city, South Carolina,3440,88.7,45,27070
Fripp Island CDP, South Carolina,370,85.3,45,27565
Furman town, South Carolina,152,87.9,45,27835
Gadsden CDP, South Carolina,328,73.1,45,27970
Gaffney city, South Carolina,3419,74.1,45,28060
Gantt CDP, South Carolina,4540,82.9,45,28375
Garden City CDP, South Carolina,4834,88.3,45,28455
Gaston town, South Carolina,721,87.7,45,28780
Gayle Mill CDP, South Carolina,265,79.3,45,28825
Georgetown city, South Carolina,2428,66.2,45,28870
Gifford town, South Carolina,48,60,45,29005
Gilbert town, South Carolina,180,78.3,45,29050
Gillisonville CDP, South Carolina,56,100,45,29140
Glendale CDP, South Carolina,85,94.4,45,29275
Glenn Springs CDP, South Carolina,51,100,45,29320
Gloverville CDP, South Carolina,977,90.1,45,29410
Golden Grove CDP, South Carolina,1222,84.7,45,29635
Goose Creek city, South Carolina,15120,94.7,45,29815
Govan town, South Carolina,12,57.1,45,29950
Gramling CDP, South Carolina,31,66,45,30220
Graniteville CDP, South Carolina,659,69.1,45,30265
Gray Court town, South Carolina,243,78.1,45,30355
Great Falls town, South Carolina,481,69.9,45,30490
Greeleyville town, South Carolina,103,56.3,45,30535
Green Sea CDP, South Carolina,12,36.4,45,30760
Greenville city, South Carolina,29653,88.4,45,30850
Greenwood city, South Carolina,6362,73,45,30895
Greer city, South Carolina,12817,90.4,45,30985
Grover CDP, South Carolina,90,62.1,45,31210
Hamer CDP, South Carolina,119,47.2,45,31660
Hampton town, South Carolina,977,80.6,45,31885
Hanahan city, South Carolina,6386,86.8,45,32065
Harbor Island CDP, South Carolina,112,92.6,45,32172
Hardeeville city, South Carolina,3792,92.4,45,32245
Harleyville town, South Carolina,240,78.4,45,32335
Hartsville city, South Carolina,2269,82.3,45,32560
Heath Springs town, South Carolina,278,84.8,45,32965
Helena CDP, South Carolina,121,42.6,45,33100
Hemingway town, South Carolina,110,67.9,45,33145
Hickory Grove town, South Carolina,169,81.3,45,33640
Hilda town, South Carolina,142,71,45,33820
Hilltop CDP, South Carolina,926,86.7,45,33977
Hilton Head Island town, South Carolina,15697,91.7,45,34045
Hodges town, South Carolina,42,84,45,34225
Holly Hill town, South Carolina,301,65.3,45,34360
Hollywood town, South Carolina,1801,88.9,45,34495
Homeland Park CDP, South Carolina,2186,74.6,45,34720
Homewood CDP, South Carolina,459,92.4,45,34765
Honea Path town, South Carolina,1128,74.8,45,34810
Hopkins CDP, South Carolina,550,67.9,45,34990
India Hook CDP, South Carolina,1790,96.7,45,35635
Inman city, South Carolina,981,79.2,45,35755
Inman Mills CDP, South Carolina,263,70.5,45,35800
Irmo town, South Carolina,4306,92.8,45,35890
Irwin CDP, South Carolina,485,69.1,45,35980
Islandton CDP, South Carolina,29,100,45,36070
Isle of Palms city, South Carolina,1749,89.8,45,36115
Iva town, South Carolina,277,59.8,45,36160
Jackson town, South Carolina,551,57,45,36205
Jacksonboro CDP, South Carolina,88,67.2,45,36250
James Island town, South Carolina,3853,87.1,45,36430
Jamestown town, South Carolina,35,74.5,45,36475
Jefferson town, South Carolina,221,67.6,45,36610
Jenkinsville town, South Carolina,14,70,45,36655
Joanna CDP, South Carolina,428,74.3,45,36790
Johnsonville city, South Carolina,388,84,45,37105
Johnston town, South Carolina,707,64.6,45,37150
Jonesville town, South Carolina,333,79.1,45,37330
Judson CDP, South Carolina,637,92.3,45,37465
Keowee Key CDP, South Carolina,1200,94.1,45,38058
Kershaw town, South Carolina,662,79.4,45,38095
Ketchuptown CDP, South Carolina,5,100,45,38110
Kiawah Island town, South Carolina,1113,98.2,45,38162
Kingstree town, South Carolina,949,66.7,45,38590
Kline town, South Carolina,47,77,45,38950
Ladson CDP, South Carolina,4649,86,45,39220
La France CDP, South Carolina,261,85.9,45,39265
Lake City city, South Carolina,1889,77.9,45,39310
Lake Murray of Richland CDP, South Carolina,2748,95.9,45,39475
Lake Secession CDP, South Carolina,285,52.1,45,39512
Lake View town, South Carolina,137,48.6,45,39715
Lakewood CDP, South Carolina,1143,76.2,45,39772
Lake Wylie CDP, South Carolina,5057,95.8,45,39785
Lamar town, South Carolina,368,75.9,45,39805
Lancaster city, South Carolina,2275,70.9,45,39895
Landrum city, South Carolina,957,74,45,40075
Lane town, South Carolina,98,45.4,45,40210
Langley CDP, South Carolina,443,79,45,40390
Latta town, South Carolina,386,64.4,45,40480
Laurel Bay CDP, South Carolina,1582,89,45,40525
Laurens city, South Carolina,2927,78.3,45,40615
Lesslie CDP, South Carolina,1004,91.1,45,41065
Lexington town, South Carolina,8567,92.4,45,41335
Liberty city, South Carolina,1070,85.3,45,41380
Lincolnville town, South Carolina,184,68.1,45,41740
Litchfield Beach CDP, South Carolina,3882,91.5,45,41830
Little Mountain town, South Carolina,140,84.8,45,41965
Little River CDP, South Carolina,4538,91.6,45,42010
Little Rock CDP, South Carolina,85,42.1,45,42055
Live Oak CDP, South Carolina,9,100,45,42095
Livingston town, South Carolina,46,76.7,45,42100
Lobeco CDP, South Carolina,45,88.2,45,42145
Lockhart town, South Carolina,145,74.7,45,42190
Lodge town, South Carolina,62,89.9,45,42280
Longcreek CDP, South Carolina,0,0,45,42460
Loris city, South Carolina,769,71.2,45,42730
Lowndesville town, South Carolina,65,76.5,45,42820
Lowrys town, South Carolina,76,69.1,45,42865
Lugoff CDP, South Carolina,3361,95.9,45,43000
Luray town, South Carolina,52,94.5,45,43090
Lydia CDP, South Carolina,97,66,45,43135
Lyman town, South Carolina,2024,94.3,45,43315
Lynchburg town, South Carolina,63,66.3,45,43360
McBee town, South Carolina,366,85.5,45,43495
McClellanville town, South Carolina,231,78.6,45,43585
McColl town, South Carolina,540,68.8,45,43630
McConnells town, South Carolina,108,83.7,45,43675
McCormick town, South Carolina,532,68.9,45,43720
Manning city, South Carolina,1443,82.7,45,44350
Manville CDP, South Carolina,139,54.3,45,44395
Marion city, South Carolina,1625,63.2,45,44575
Mauldin city, South Carolina,10128,94.9,45,45115
Mayesville town, South Carolina,213,88.4,45,45295
Mayo CDP, South Carolina,720,90.2,45,45430
Meggett town, South Carolina,502,80.8,45,45790
Modoc CDP, South Carolina,188,90.4,45,47050
Monarch Mill CDP, South Carolina,707,88.8,45,47200
Moncks Corner town, South Carolina,4396,90.4,45,47275
Monetta town, South Carolina,65,65.7,45,47320
Mount Carmel CDP, South Carolina,34,17.4,45,48310
Mount Croghan town, South Carolina,67,87,45,48355
Mount Pleasant town, South Carolina,31473,82.5,45,48535
Mountville CDP, South Carolina,27,40.3,45,48670
Mulberry CDP, South Carolina,30,46.2,45,48737
Mullins city, South Carolina,1023,73.2,45,48805
Murphys Estates CDP, South Carolina,327,73.5,45,48900
Murrells Inlet CDP, South Carolina,4284,93.6,45,48985
Myrtle Beach city, South Carolina,14183,87.5,45,49075
Neeses town, South Carolina,96,59.6,45,49390
Newberry city, South Carolina,3215,82.1,45,49570
New Ellenton town, South Carolina,878,90.7,45,49705
Newport CDP, South Carolina,1696,99.4,45,49885
Newry CDP, South Carolina,75,49.3,45,49975
Newtown CDP, South Carolina,218,60.1,45,50020
Nichols town, South Carolina,60,74.1,45,50110
Ninety Six town, South Carolina,743,80,45,50290
Norris town, South Carolina,218,81,45,50515
North town, South Carolina,254,71.5,45,50560
North Augusta city, South Carolina,9898,91,45,50695
North Charleston city, South Carolina,37430,81.5,45,50875
North Hartsville CDP, South Carolina,1073,93,45,51145
Northlake CDP, South Carolina,1481,91.3,45,51180
North Myrtle Beach city, South Carolina,8210,91.8,45,51280
North Santee CDP, South Carolina,173,89.2,45,51367
Norway town, South Carolina,97,78.2,45,51550
Oak Grove CDP, South Carolina,4506,91.8,45,51720
Oakland CDP, South Carolina,389,82.2,45,51887
Olanta town, South Carolina,165,83.8,45,52540
Olar town, South Carolina,53,72.6,45,52585
Olympia CDP, South Carolina,502,98,45,52900
Orangeburg city, South Carolina,3868,77.7,45,53080
Oswego CDP, South Carolina,90,100,45,53485
Pacolet town, South Carolina,658,70.4,45,53845
Pageland town, South Carolina,601,59.3,45,54025
Pamplico town, South Carolina,283,71.6,45,54340
Parker CDP, South Carolina,4168,85.4,45,54535
Parksville town, South Carolina,31,54.4,45,54700
Patrick town, South Carolina,149,60.6,45,54925
Pauline CDP, South Carolina,84,68.3,45,54970
Pawleys Island town, South Carolina,60,93.8,45,55015
Paxville town, South Carolina,108,79.4,45,55060
Peak town, South Carolina,22,61.1,45,55150
Pelion town, South Carolina,233,64.5,45,55420
Pelzer town, South Carolina,408,58,45,55465
Pendleton town, South Carolina,1690,91.3,45,55645
Perry town, South Carolina,70,70.7,45,55960
Pickens city, South Carolina,994,84.7,45,56140
Piedmont CDP, South Carolina,1698,92.2,45,56365
Pimlico CDP, South Carolina,641,94.1,45,56545
Pine Ridge CDP, South Carolina,289,93.2,45,56905
Pine Ridge town, South Carolina,1020,96.6,45,56950
Pinewood town, South Carolina,184,72.2,45,57085
Pinopolis CDP, South Carolina,405,87.7,45,57175
Plum Branch town, South Carolina,26,83.9,45,57670
Pomaria town, South Carolina,31,77.5,45,57850
Port Royal town, South Carolina,4259,90.5,45,58030
Powdersville CDP, South Carolina,3643,96,45,58170
Princeton CDP, South Carolina,19,76,45,58435
Privateer CDP, South Carolina,542,73.1,45,58570
Promised Land CDP, South Carolina,91,82.7,45,58615
Prosperity town, South Carolina,398,78.7,45,58705
Quinby town, South Carolina,244,72.2,45,58795
Rains CDP, South Carolina,73,85.9,45,58930
Ravenel town, South Carolina,867,85.9,45,59020
Red Bank CDP, South Carolina,3750,88.8,45,59110
Red Hill CDP, South Carolina,5185,90.3,45,59190
Reevesville town, South Carolina,83,77.6,45,59380
Reidville town, South Carolina,522,95.8,45,59425
Rembert CDP, South Carolina,50,100,45,59470
Richburg town, South Carolina,91,62.3,45,59920
Ridgeland town, South Carolina,706,65.8,45,60280
Ridge Spring town, South Carolina,241,73.7,45,60325
Ridgeville town, South Carolina,206,88.8,45,60370
Ridgeway town, South Carolina,106,82.8,45,60415
Riverview CDP, South Carolina,641,90.8,45,61112
Rock Hill city, South Carolina,26915,88.4,45,61405
Rockville town, South Carolina,45,81.8,45,61495
Roebuck CDP, South Carolina,1368,96.8,45,61720
Rowesville town, South Carolina,92,58.2,45,62035
Ruby town, South Carolina,134,82.7,45,62080
Russellville CDP, South Carolina,77,52.7,45,62305
St. Andrews CDP, South Carolina,8681,85.1,45,62395
St. Charles CDP, South Carolina,35,87.5,45,62485
St. George town, South Carolina,438,56.4,45,62530
St. Matthews town, South Carolina,621,75.3,45,62620
St. Stephen town, South Carolina,296,61.8,45,62755
Salem town, South Carolina,38,71.7,45,62980
Salley town, South Carolina,114,81.4,45,63115
Saluda town, South Carolina,825,70.2,45,63250
Sandy Springs CDP, South Carolina,362,100,45,63655
Sangaree CDP, South Carolina,2892,90.7,45,63665
Sans Souci CDP, South Carolina,3099,81.5,45,63700
Santee town, South Carolina,324,73.3,45,63790
Saxon CDP, South Carolina,846,63.1,45,64240
Scotia town, South Carolina,34,64.2,45,64465
Scranton town, South Carolina,238,86.9,45,64600
Seabrook CDP, South Carolina,262,64.2,45,64690
Seabrook Island town, South Carolina,1157,97.1,45,64712
Sellers town, South Carolina,7,13.5,45,65005
Seneca city, South Carolina,3346,84.6,45,65095
Seven Oaks CDP, South Carolina,6308,92.2,45,65207
Sharon town, South Carolina,125,62.5,45,65410
Sheldon CDP, South Carolina,153,60.5,45,65590
Shell Point CDP, South Carolina,766,94.9,45,65680
Shiloh CDP, South Carolina,26,40.6,45,65950
Silverstreet town, South Carolina,46,92,45,66400
Simpsonville city, South Carolina,8489,91.7,45,66580
Six Mile town, South Carolina,307,92.2,45,66760
Slater-Marietta CDP, South Carolina,758,88.6,45,66917
Smoaks town, South Carolina,49,80.3,45,67165
Smyrna town, South Carolina,9,75,45,67210
Snelling town, South Carolina,73,72.3,45,67255
Socastee CDP, South Carolina,7981,90.5,45,67390
Society Hill town, South Carolina,100,55.9,45,67435
South Congaree town, South Carolina,863,92.4,45,67705
Southern Shops CDP, South Carolina,593,51.2,45,67750
South Sumter CDP, South Carolina,566,85.1,45,68177
South Union CDP, South Carolina,104,94.5,45,68210
Spartanburg city, South Carolina,12571,80.7,45,68290
Springdale CDP, South Carolina,784,79.3,45,68380
Springdale town, South Carolina,1086,92.9,45,68425
Springfield town, South Carolina,122,73.9,45,68470
Starr town, South Carolina,56,84.8,45,68875
Startex CDP, South Carolina,204,100,45,68920
Stateburg CDP, South Carolina,580,95.7,45,69010
Stuckey town, South Carolina,43,38.7,45,70045
Sullivan's Island town, South Carolina,794,93.9,45,70090
Summerton town, South Carolina,243,71.7,45,70225
Summerville town, South Carolina,18147,90.1,45,70270
Summit town, South Carolina,165,77.5,45,70315
Sumter city, South Carolina,13567,82.8,45,70405
Surfside Beach town, South Carolina,1769,92,45,70585
Swansea town, South Carolina,209,65.1,45,70675
Sycamore town, South Carolina,40,83.3,45,70900
Tamassee CDP, South Carolina,22,100,45,71170
Tatum town, South Carolina,22,66.7,45,71305
Taylors CDP, South Carolina,8605,94.7,45,71395
Tega Cay city, South Carolina,4338,91.7,45,71417
The Cliffs Valley CDP, South Carolina,315,86.1,45,71658
Tigerville CDP, South Carolina,31,100,45,71890
Timmonsville town, South Carolina,620,67.2,45,71980
Tradesville CDP, South Carolina,26,100,45,72295
Travelers Rest city, South Carolina,1850,88.3,45,72430
Trenton town, South Carolina,102,81,45,72520
Troy town, South Carolina,51,89.5,45,72655
Turbeville town, South Carolina,171,70.7,45,72745
Ulmer town, South Carolina,22,64.7,45,72880
Union city, South Carolina,3096,81.6,45,73105
Unity CDP, South Carolina,173,94.5,45,73240
Utica CDP, South Carolina,474,60.6,45,73330
Valley Falls CDP, South Carolina,2325,87,45,73465
Vance town, South Carolina,18,52.9,45,73510
Van Wyck town, South Carolina,239,60.4,45,73555
Varnville town, South Carolina,513,69.9,45,73600
Wade Hampton CDP, South Carolina,8126,90.6,45,73870
Wagener town, South Carolina,263,60.6,45,74050
Walhalla city, South Carolina,1202,76.5,45,74095
Wallace CDP, South Carolina,200,50.5,45,74140
Walterboro city, South Carolina,1857,81.6,45,74275
Ward town, South Carolina,52,65,45,74590
Ware Place CDP, South Carolina,38,74.5,45,74635
Ware Shoals town, South Carolina,387,55.8,45,74680
Warrenville CDP, South Carolina,326,84.9,45,74725
Waterloo town, South Carolina,73,81.1,45,74995
Watts Mills CDP, South Carolina,476,84,45,75220
Wedgefield CDP, South Carolina,632,82.4,45,75445
Welcome CDP, South Carolina,2573,79.7,45,75535
Wellford city, South Carolina,901,83.7,45,75580
West Columbia city, South Carolina,6986,85.6,45,75850
Westminster city, South Carolina,771,76.2,45,76165
West Pelzer town, South Carolina,341,82,45,76345
West Union town, South Carolina,119,81.5,45,76435
White Knoll CDP, South Carolina,2395,95.9,45,77042
