FIPS,State,State_Name,County_Name,Population_2020,RUCC_2023,Description
01001,AL,Alabama,Autauga County,"58,805",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01003,AL,Alabama,Baldwin County,"231,767",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01005,AL,Alabama,Barbour County,"25,223",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01007,AL,Alabama,Bibb County,"22,293",1,Metro - Counties in metro areas of 1 million population or more
01009,AL,Alabama,Blount County,"59,134",1,Metro - Counties in metro areas of 1 million population or more
01011,AL,Alabama,Bullock County,"10,357",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01013,AL,Alabama,Butler County,"19,051",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01015,AL,Alabama,Calhoun County,"116,441",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01017,AL,Alabama,Chambers County,"34,772",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01019,AL,Alabama,Cherokee County,"24,971",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01021,AL,Alabama,Chilton County,"45,014",1,Metro - Counties in metro areas of 1 million population or more
01023,AL,Alabama,Choctaw County,"12,665",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01025,AL,Alabama,Clarke County,"23,087",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01027,AL,Alabama,Clay County,"14,236",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01029,AL,Alabama,Cleburne County,"15,056",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01031,AL,Alabama,Coffee County,"53,465",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01033,AL,Alabama,Colbert County,"57,227",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01035,AL,Alabama,Conecuh County,"11,597",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
01037,AL,Alabama,Coosa County,"10,387",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01039,AL,Alabama,Covington County,"37,570",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01041,AL,Alabama,Crenshaw County,"13,194",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01043,AL,Alabama,Cullman County,"87,866",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01045,AL,Alabama,Dale County,"49,326",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01047,AL,Alabama,Dallas County,"38,462",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
01049,AL,Alabama,DeKalb County,"71,608",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01051,AL,Alabama,Elmore County,"87,977",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01053,AL,Alabama,Escambia County,"36,757",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01055,AL,Alabama,Etowah County,"103,436",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01057,AL,Alabama,Fayette County,"16,321",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
01059,AL,Alabama,Franklin County,"32,113",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01061,AL,Alabama,Geneva County,"26,659",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01063,AL,Alabama,Greene County,"7,730",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01065,AL,Alabama,Hale County,"14,785",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
01067,AL,Alabama,Henry County,"17,146",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01069,AL,Alabama,Houston County,"107,202",3,"Metro - Counties in metro areas of fewer than 250,000 population"
01071,AL,Alabama,Jackson County,"52,579",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
01073,AL,Alabama,Jefferson County,"674,721",1,Metro - Counties in metro areas of 1 million population or more
01075,AL,Alabama,Lamar County,"13,972",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
